"Site ID","サイトID"
"Site Password","サイトパスワード"
"Shop ID","ショップID"
"Shop Password","ショップパスワード"
"Infomation","インフォメーション"
"GMO module(Zip file)","GMOモジュール (Zip圧縮ファイル)"
"GMO config file (connector.properties)","GMOコンフィグファイル (connector.properties)"
"GMO logging config file (log.properties)","GMOログ設定ファイル (log.properties)"
"Payment Action","決済アクション"
"Credit Card Types","クレジットカード会社"
"Can Use Internal","バックエンドでも使用可"
"Test","テストカード使用"
"Credit Card Type","クレジットカード会社"
"Credit Card Number","クレジットカード番号"
"Expiration Date","有効期限"
"Card Verification Number","セキュリティコード"
"What is this?","これは何？"
"Month","月"
"Year","年"

