"-- Select --","--選択してください--"
"Add New Option","オプションの追加"
"Add Selection","選択候補の追加"
"As Low as","会員なら特別に"
"As low as","会員なら特別に"
"Bundle Items","セット商品"
"Bundle Product","セット商品"
"Buy %1$s with %2$s discount each","%1$s 個お買い上げいただくと1個につき %2$s お得"
"Catalog Product View (Bundle)","商品表示 (バンドル)"
"Checkbox","チェックボックス"
"Choose a selection...","選択してください..."
"Drop-down","ドロップダウン"
"Dynamic","可変"
"Excl. Tax","税抜き"
"Fixed","定額"
"From","開始"
"Gift Message","ギフトメッセージ"
"Input Type","入力形式"
"Is Required","必須"
"Message:","メッセージ:"
"Multiple Select","複数選択"
"N/A","N/A"
"No options of this product are available.","この商品で利用可能なオプションはありません。"
"None","なし"
"Percent","割合"
"Percent Discount","割引率"
"Please Select Products to Add","追加する商品を選択してください。"
"Please enter search conditions to view products.","商品を表示させるための検索条件を指定してください。"
"Please select options for product.","商品のオプションを選択してください。"
"Please specify product option(s).","商品オプションを指定してください。"
"Price Range","価格範囲"
"Price Type","価格種別"
"Price as configured","この構成での価格"
"Qty:","数量:"
"Radio Buttons","ラジオボタン"
"Required options are not selected.","必須オプションが未選択です。"
"Selected required options are not available.","選択された必須オプションは利用できません。"
"Separately","別々"
"Ship Bundle Items","セット商品の配送方法"
"Store View Title","店舗名"
"There is no defined renderer for ""%s"" option type.","オプション形式""%s""の表示処理が未定義です。"
"This product is also part of bundle(s)","この商品もセットの一部です"
"To","終了"
"Together","まとめて"
"User Defined Qty","ユーザーの指定した数量"
