" Copy","コピー"
"<!-- This tag is for unsubscribe link  --> Follow this link to unsubscribe <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","<!-- This tag is for unsubscribe link  --> こちらのリンクから購読解除をお願いいたします<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Add New Template","テンプレート新規追加"
"Add to Queue","キューに追加"
"Allow Guest Subscription","ゲスト購読を許可する"
"An error occurred while saving your subscription.","購読処理中にエラーが発生しました。"
"Are you sure that you want to delete this template?","テンプレートを削除してもいいですか？"
"Are you sure that you want to strip all tags?","タグを全て除去してもいいですか？"
"Cancel","キャンセル"
"Cancelled","キャンセル済"
"Cannot mark as received subscriber.","確認済みの購読者として処理できませんでした。"
"Confirmation Email Sender","確認メール送信者"
"Confirmation Email Template","確認メールテンプレート"
"Confirmation request has been sent.","ニュースレター登録確認メールを送信しました。"
"Convert to Plain Text","プレーンテキストに変換"
"Create Newsletter Template","新しいメールテンプレートを作成"
"Customer First Name","お客さま名"
"Customer Last Name","お客さま姓"
"Customer My Account Newsletter Subscriptions","マイアカウントニュースレター購読"
"Date Updated","更新日"
"Delete Selected Problems","選択した問題を削除する"
"Delete Template","テンプレート削除"
"Do you really want to cancel the queue?","キューをキャンセルしてもいいですか？"
"Duplicate template code.","テンプレートコードが重複しています。"
"Edit Newsletter","ニュースレター編集"
"Edit Newsletter Template","ニュースレターテンプレートの編集"
"Edit Queue","キューの編集"
"Edit Template","テンプレートの編集"
"Enter your email address","メールアドレスを入力してください"
"Error Code","エラーコード"
"Error Text","エラーテキスト"
"Guest","ゲスト様"
"ID","ID"
"Invalid queue selected.","不正なキューが選択されました。"
"Invalid subscription ID.","不正な購読ID."
"Invalid subscription confirmation code.","不正な購読確認コードです。"
"Need to Confirm","確認が必要"
"New Newsletter Template","新規ニュースレターテンプレート"
"New Template","新規テンプレート"
"Newsletter","ニュースレター"
"Newsletter Message Preview","ニュースレタープレビュー"
"Newsletter Problem Reports","ニュースレター問題報告"
"Newsletter Queue","ニュースレターキュー"
"Newsletter Section","ニュースレター"
"Newsletter Sign-up:","ニュースレター購読:"
"Newsletter Subscribers","ニュースレター購読者"
"Newsletter Subscription","ニュースレター購読"
"Newsletter Subscriptions","ニュースレター購読"
"Newsletter Templates","ニュースレターテンプレート"
"Newsletter subscription confirmation","ニュースレター購読確認"
"Newsletter subscription success","ニュースレター購読成功"
"Newsletter unsubscription success","ニュースレター解約成功"
"No Templates Found","テンプレートが見つかりませんでした"
"No problems found.","問題はありません。"
"No subscribers selected.","購読者が選択されていません。"
"Not Activated","未アクティブ"
"Not Sent","未送信"
"Pause","ポーズ"
"Paused","ポーズ"
"Please enter a valid email address.","正しいメールアドレスを入力してください。"
"Please enter new template name","新しいテンプレート名を入力してください"
"Please select subscriber(s)","購読者を選択してください"
"Preview","プレビュー"
"Preview Template","テンプレートのプレビュー"
"Processed","処理中"
"Queue Date Start","キュー開始日"
"Queue Finish","キュー終了日"
"Queue Information","キュー情報"
"Queue Newsletter...","ニュースレターキューイング中"
"Queue Start","キュー開始"
"Queue Subject","キュー名"
"Recipients","受取人"
"Reset","リセット"
"Resume","レジューム"
"Return HTML Version","HTMLバージョン"
"Save As","名前をつけて保存"
"Save Newsletter","ニュースレターの保存"
"Save Template","テンプレートの保存"
"Save and Resume","保存して続ける"
"Selected problem subscribers have been unsubscribed.","選択した購読者を購読解除しました。"
"Selected problems have been deleted.","選択した問題を削除しました。"
"Sender","送信者"
"Sender Email","送信者アドレス"
"Sender Name","送信者名"
"Sending","送信中"
"Sent","送信済"
"Sign Up for Our Newsletter:","ニュースレターをご購読ください:"
"Sign Up for Our Newsletter","お得な情報満載のニュースレターをご購読ください。"
"Sign up for our newsletter","ニュースレターを購読"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","申し訳ありません、ゲストの方はニュースレターをご購読いただけません。 <a href=""%s"">お客さま登録</a>をお願いいたします。"
"Sorry, but your can not subscribe email adress assigned to another user.","申し訳ありません、ご登録いただいたメールアドレスは既に登録されています。"
"Start","開始"
"Store","店舗"
"Store View","店舗ビュー"
"Subject","件名"
"Subscribe","購読"
"Subscribed","購読済"
"Subscriber","購読者"
"Subscribers","購読者"
"Subscribers From","購読者"
"Subscription Options","購読オプション"
"Success Email Sender","成功メール送信者"
"Success Email Template","成功メールテンプレート"
"Template Content","テンプレートコンテンツ"
"Template Information","テンプレート情報"
"Template Name","テンプレート名"
"Template Styles","テンプレートスタイル"
"Template Subject","テンプレート件名"
"Template Type","テンプレートタイプ"
"Thank you for your subscription.","ご購読ありがとうございます。"
"The subscription has been removed.","購読を解除しました。"
"The subscription has been saved.","購読しました。"
"There was a problem with the subscription.","購読中にエラーが発生しました。"
"There was a problem with the subscription: %s","%s"
"There was a problem with the un-subscription.","購読解除中に問題がありました。"
"This email address is already assigned to another user.","ご入力いただいたメールアドレスは既に登録されています。"
"Unsubscribe","購読解除"
"Unsubscribe Selected","未購読を選択しました"
"Unsubscribed","購読解除"
"Unsubscription Email Sender","購読解除メール送信者"
"Unsubscription Email Template","購読解除メールテンプレート"
"View Newsletter","ニュースレターを見る"
"Website","ウェブサイト"
"You have been unsubscribed.","未購読になりました。"
"Your subscription has been confirmed.","ニュースレター購読登録を完了しました。"
"HTML Mail","HTMLメール"
"Text Mail","テキストメール"
"Keitai Mail","携帯メール"
"HTML Styles","スタイルシート"
