"Persistent Shopping Cart","カートの保存"
"Enable Persistence","カートの保存を有効にする"
"Persistence Lifetime (seconds)","保存期間(秒)"
"Enable ""Remember Me""","""私を忘れないで""を有効にする"
"""Remember Me"" Default Value","""私を忘れないで""のデフォルト値"
"Clear Persistence on Log Out","ログアウト時にカートをクリア"
"Persist Shopping Cart","カートを永続させる"
"What's this?","これは何？"
"Checking ""Remember Me"" will let you access your shopping cart on this computer when you are logged out","""私を忘れないで""をチェックするとログアウトしているときでもあなたのショッピングカートにアクセスできるようになります。"
"Remember Me","私を忘れないで"
"(Not %s?)","(%sさんではありませんか?)"
