"Add New Rule","新規ルール追加"
"Apply To","適用終了日"
"Apply the rule only if the following conditions are met (leave blank for all products)","以下の条件を満たす場合のみルールが適用されます。(全商品対象の場合は空にする)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","カートの商品が以下の条件を満たす場合のみルールが適用されます。(全商品対象の場合は空にする)"
"Apply the rule to cart items matching the following conditions","以下の条件にマッチするカートの商品に適用する"
"Apply to Shipping Amount","配送料に適用する"
"Auto","自動"
"Buy X get Y free (discount amount is Y)","X個買うと追加Y個まで無料"
"By Fixed Amount","価格を固定金額(X)で割引"
"By Fixed value","固定値"
"By Percentage","固定率(%)"
"By Percentage of the Original Price","価格からX%分を割引"
"Can\'t acquire coupon.","クーポンを適用できません。"
"Cart Attribute","カート属性"
"Catalog","カタログ"
"Conditions","条件"
"Conditions combination","条件の組み合わせ"
"Coupon","クーポン"
"Coupon Code","クーポンコード"
"Customer Groups","お客さまグループ"
"Customer is new buyer: %s","新規お客さま: %s"
"Customer registered: %s","お客さま登録日: %s"
"Date Expire","終了日"
"Date Start","開始日"
"Default Label","デフォルトラベル"
"Default Rule Label for All Store Views","全店舗ビューのデフォルトルール名称"
"Delete Rule","ルールの削除"
"Description","概要"
"Description: %s","概要: %s"
"Discount Amount","値引額(円)/率(%)/数量(Y個)"
"Discount Qty Step (Buy X)","値引数量段階(X個)"
"Edit Rule","ルールの編集"
"Edit Rule '%s'","'%s'のルールを編集"
"Expire at: %s","終了日: %s"
"Fixed amount discount","定額値引(商品ごと)"
"Fixed amount discount for whole cart","定額値引(カート全体)"
"For matching items only","一致する商品のみ"
"For shipment with matching items","一致する商品の出荷"
"Free Shipping","送料無料"
"From Date","開始日"
"ID","ルールID"
"Labels","ラベル"
"Maximum Qty Discount is Applied To","値引を適用する最大数量"
"NOT LOGGED IN","未ログイン"
"Name: %s","名前: %s"
"New Rule","新規ルール"
"No Coupon","クーポンなし"
"Number of Uses","使用数"
"Percent of product price discount","商品価格値引率(%)"
"Period","期間"
"Price in cart","カートの中の価格"
"Priority","優先度"
"Product attribute combination","商品属性の組み合わせ"
"Products subselection","商品の仮選択"
"Promotions","プロモーション"
"Public In RSS Feed","RSSフィードに公開"
"Quantity in cart","カートの中の個数"
"Row total in cart","カートの中の行数"
"Rule Information","ルール情報"
"Rule Name","ルール名"
"Sales Discount Amount","値引額"
"Sales Subtotal Amount","小計"
"Sales Total Amount","合計金額"
"Save Rule","保存"
"Shipping Country","お届け先の国"
"Shipping Postcode","お届け先郵便番号"
"Shipping Region","配送エリア"
"Shipping State/Province","お届け先の県/地方"
"Shopping Cart Price Rule","ショッピングカート価格ルール"
"Shopping Cart Price Rules","ショッピングカート価格ルール"
"Shopping Cart Price Rules based on deleted attribute ""%s"" has been disabled.","ショッピングカート価格ルールは削除された属性に基づいています。 ""%s"" は無効です。"
"Special Price","特別価格"
"Specific Coupon","特定のクーポン"
"Start at: %s","開始日: %s"
"Stop Further Rules Processing","他のルールの適用を行わない"
"Store View Specific Labels","店舗ビュー固有のラベル"
"Subtotal","小計"
"Subtotal Amount","小計額"
"The rule has been deleted.","ルールを削除しました。"
"The rule has been saved.","ルールを保存しました。"
"This rule no longer exists.","ルールが存在しません。"
"To Date","終了日"
"To Fixed Amount","価格を固定金額(X)にする"
"To Fixed Value","金額"
"To Percentage","割合"
"To Percentage of the Original Price","価格をX%にする"
"Total Amount","合計金額"
"Total Items Quantity","合計商品点数"
"Total Weight","総重量"
"Unable to find a rule to delete.","削除するルールが見つかりません。"
"Update Prices Using the Following Information","以下の情報に基づいて価格を更新する"
"Update prices using the following information","商品の価格を以下の条件で更新する"
"Update product's %s %s: %s","商品を更新 %s %s: %s"
"Update the Product","商品を更新"
"Uses per Coupon","クーポンごとの使用可能数"
"Uses per Customer","お客さまごとの使用可能数"
"Wrong rule specified.","不正なルールが指定されました"
